Influencer,Token,Tweet Time,Price @Tweet,Price @5m,Price @10m,Price @15m,% Change
@kmoney_69,$,2025-03-05 01:00:06 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$CO,2025-03-05 01:00:06 UTC,0.00048992,0.00048992,0.00048992,0.00048992,0.0
@kmoney_69,$T,2025-03-05 01:00:06 UTC,0.01762403,0.01762403,0.01762403,0.01762403,0.0
@kmoney_69,$,2025-03-05 00:49:23 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$NGL,2025-03-05 00:49:23 UTC,0.035691,0.035691,0.035691,0.035691,0.0
@kmoney_69,$THE,2025-03-05 00:49:23 UTC,0.432296,0.432296,0.432296,0.432296,0.0
@kmoney_69,$COIN,2025-03-05 00:49:23 UTC,0.00025774,0.00025774,0.00025774,0.00025774,0.0
@kmoney_69,$LIKE,2025-03-05 00:49:23 UTC,0.00083644,0.00083644,0.00083644,0.00083644,0.0
@kmoney_69,$REKT,2025-03-05 00:49:23 UTC,3.73925e-10,3.73925e-10,3.73925e-10,3.73925e-10,0.0
@kmoney_69,$,2025-03-04 23:00:35 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$BULLISH,2025-03-04 23:00:35 UTC,1.788e-05,1.788e-05,1.788e-05,1.788e-05,0.0
@kmoney_69,$CAN,2025-03-04 23:00:35 UTC,0.00099015,0.00099015,0.00099015,0.00099015,0.0
@kmoney_69,$,2025-03-04 22:56:49 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$,2025-03-04 22:39:23 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$WHY,2025-03-04 22:39:23 UTC,0.00017723,0.00017723,0.00017723,0.00017723,0.0
@kmoney_69,$,2025-03-04 22:18:09 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$YES,2025-03-04 22:18:09 UTC,1.9,1.9,1.9,1.9,0.0
@kmoney_69,$,2025-03-04 22:07:53 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$,2025-03-04 22:03:32 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$HERE,2025-03-04 22:03:32 UTC,0.00126675,0.00126675,0.00126675,0.00126675,0.0
@kmoney_69,$PEPE,2025-03-04 22:03:32 UTC,5.1432e-08,5.1432e-08,5.1432e-08,5.1432e-08,0.0
@kmoney_69,$MOG,2025-03-04 22:03:32 UTC,0.00013489,0.00013489,0.00013489,0.00013489,0.0
@kmoney_69,$,2025-03-04 21:56:19 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$LMAO,2025-03-04 21:56:19 UTC,3.754e-05,3.754e-05,3.754e-05,3.754e-05,0.0
@kmoney_69,$SIS,2025-03-04 21:56:19 UTC,0.061685,0.061685,0.061685,0.061685,0.0
@kmoney_69,$,2025-03-04 21:51:21 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$ETH,2025-03-04 21:51:21 UTC,2150.51,2150.51,2150.51,2150.51,0.0
@kmoney_69,$MOG,2025-03-04 21:51:21 UTC,0.00013489,0.00013489,0.00013489,0.00013489,0.0
@kmoney_69,$,2025-03-04 21:49:44 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$FOR,2025-03-04 21:49:44 UTC,0.00150722,0.00150722,0.00150722,0.00150722,0.0
@kmoney_69,$AZUKI,2025-03-04 21:49:44 UTC,0.00184611,0.00184611,0.00184611,0.00184611,0.0
@kmoney_69,$THE,2025-03-04 21:49:44 UTC,0.432296,0.432296,0.432296,0.432296,0.0
@kmoney_69,$NOT,2025-03-04 21:49:44 UTC,0.00275511,0.00275511,0.00275511,0.00275511,0.0
@kmoney_69,$ME,2025-03-04 21:49:44 UTC,5.129e-05,5.129e-05,5.129e-05,5.129e-05,0.0
@kmoney_69,$BEAN,2025-03-04 21:49:44 UTC,0.264121,0.264121,0.264121,0.264121,0.0
